MONTH,ERA5,M_CLM,E_HIRHAM,E_RACMO,H_RACMO,C_RCA,E_RCA,I_RCA,H_RCA,M_RCA,VAR,PERIOD
I,-14.462,-21.585,-24.783,-10.452,-7.8047,-18.246,-22.281,-23.265,-21.092,-17.917,H,1981_2005
II,-5.8838,-14.584,-16.455,0.59339,-1.4707,-10.474,-9.927,-12.318,-13.623,-10.217,H,1981_2005
III,6.4204,-4.5322,4.0879,24.785,18.606,5.1052,6.4515,4.5133,2.0986,4.014,H,1981_2005
IV,21.353,12.744,23.225,44.033,42.082,17.141,19.331,17.823,17.055,14.612,H,1981_2005
V,22.151,23.182,28.685,39.734,38.705,18.54,21.879,21.395,21.977,20.591,H,1981_2005
VI,21.651,18.824,25.507,36.737,43.978,18.761,24.703,24.821,38.509,24.903,H,1981_2005
VII,21.075,13.697,18.692,41.156,49.182,22.905,30.292,30.936,49.122,29.651,H,1981_2005
VIII,18.592,6.784,12.241,37.124,39.769,21.441,31.42,30.315,44.771,22.665,H,1981_2005
IX,9.219,0.061914,3.2019,21.717,23.893,8.52,14.218,13.691,20.87,10.08,H,1981_2005
X,-1.5498,-10.861,-8.4316,7.3082,8.4337,-4.1159,-2.4873,-5.224,0.035584,-6.4339,H,1981_2005
XI,-8.5742,-18.967,-19.355,-3.6121,-2.9244,-13.51,-16.343,-19.563,-14.583,-15.544,H,1981_2005
XII,-14.471,-22.522,-24.357,-9.1617,-6.768,-18.123,-21,-25.754,-19.372,-21.667,H,1981_2005
I,NA,-22.082,-24.499,-8.9186,-9.0234,-20.163,-20.836,-24.568,-21.665,-19.488,H,2076_2100
II,NA,-14.617,-16.867,3.9859,2.4042,-12.715,-10.535,-16.299,-11.338,-12.668,H,2076_2100
III,NA,-7.4159,4.0193,24.45,21.62,5.0898,3.0297,-1.2932,2.0177,-1.0965,H,2076_2100
IV,NA,6.1723,19.532,40.986,39.512,14.691,14.304,11.218,13.426,10.311,H,2076_2100
V,NA,14.188,20.739,33.698,36.331,15.671,18.151,16.678,19.108,16.097,H,2076_2100
VI,NA,10.642,18.902,38.997,42.305,16.17,28.452,29.11,38.374,24.688,H,2076_2100
VII,NA,12.741,16.858,47.212,54.357,20.078,43.766,43.628,58.581,35.208,H,2076_2100
VIII,NA,12.212,11.485,40.948,47.293,15.871,46.59,37.301,49.562,35.244,H,2076_2100
IX,NA,1.5432,2.2881,24.96,29.318,6.2382,23.347,19.591,26.964,11.765,H,2076_2100
X,NA,-10.073,-7.9986,8.237,8.7723,-5.3276,-2.617,-4.2631,0.098712,-5.535,H,2076_2100
XI,NA,-19.967,-18.846,-4.014,-2.6175,-15.446,-15.144,-20.684,-13.292,-17.365,H,2076_2100
XII,NA,-24.272,-24.856,-10.024,-9.0161,-19.967,-20.994,-27.655,-20.068,-22.145,H,2076_2100
I,7.8141,10.281,7.842,5.0666,4.1183,7.0504,10.881,14.237,9.7677,10.123,LE,1981_2005
II,11.838,17.013,11.695,7.4048,7.9378,11.077,14.007,16.939,19.928,16.088,LE,1981_2005
III,27.556,34.668,18.294,15.298,17.164,26.361,30.947,34.562,36.638,37.26,LE,1981_2005
IV,55.625,52.938,37.05,36.706,38.756,56.677,60.237,60.095,64.756,65.751,LE,1981_2005
V,82.514,72.817,66.127,70.867,73.877,89.345,87.157,85.836,95.083,91.92,LE,1981_2005
VI,91.523,86.363,84.127,77.698,84.435,105.71,99.241,98.8,102.9,105.01,LE,1981_2005
VII,91.303,81.578,82.234,69.286,69.079,103.18,94.971,97.073,79.06,94.222,LE,1981_2005
VIII,76.221,69.112,65.099,56.376,52.358,80.772,71.008,71.193,60.412,78.161,LE,1981_2005
IX,49.056,47.163,38.914,35.935,37.338,56.215,50.945,50.565,45.484,56.022,LE,1981_2005
X,28.126,29.183,18.15,19.556,19.214,32.823,30.455,33.654,28.58,34.861,LE,1981_2005
XI,13.109,15.106,9.3269,8.6215,9.0033,15.874,16.027,20.808,16.01,17.049,LE,1981_2005
XII,7.4886,12.067,7.3083,4.7436,4.3538,7.6207,8.3737,14.452,9.7604,12.053,LE,1981_2005
